,longitude,latitude,B2,B3,B4,B8,B11,B12,predpH1
257,140.07713194590195,40.29999569734894,576,901,666,3237,1703,916,6.27196634830853
258,140.07758110354402,40.29999569734894,581,918,685,3190,1924,1006,6.292490969768283
259,140.07838958729974,40.30017536040577,576,898,696,2964,1836,1044,6.2603484668461205
260,140.0742573369928,40.30035502346259,650,946,875,2742,1944,1089,6.319682445263187
261,140.0780302611861,40.300444854991,586,912,747,2998,1777,1007,6.315709141110889
262,140.0766827882599,40.30080418110465,561,857,674,3066,1708,931,6.372584228846988
263,140.07785059812926,40.30080418110465,650,964,835,3040,2064,1203,6.24176738637757
264,140.07713194590195,40.3011635072183,618,938,821,2693,1888,1113,6.306148151169421
265,140.07335902170865,40.301343170275125,506,805,538,3540,1910,1151,6.262476357022746
266,140.0729098640666,40.30143300180353,615,898,738,2973,2050,1103,6.303360424581754
267,140.07641329367468,40.30313980084336,680,935,911,2542,2478,1709,6.218683430399792
268,140.04488242720208,40.31338059508232,673,885,895,2323,2321,1703,6.059219269682273
269,140.03778573645752,40.3207467804121,463,711,510,3184,1498,875,6.302362804228132
270,140.07713194590195,40.32317223167923,546,907,613,3308,1809,996,6.3165908488141875
271,140.09150499044787,40.33395201508866,527,913,617,3334,1711,960,6.305343141228337
272,140.0915948219763,40.33413167814548,538,906,641,3191,1781,972,6.496394086328873
273,140.0885405500103,40.2778971413596,808,1144,1120,2951,2182,1460,6.297376482206739
274,140.04119933453717,40.3214654326394,595,894,750,3185,1755,1005,6.3095326743771905
275,140.07785059812926,40.32425021002017,688,962,794,3174,1999,1266,6.337067057609912
276,140.07416750546437,40.319938296656396,591,1030,667,4024,1757,959,6.266847415353431
277,140.04092983995196,40.312033122156144,562,828,756,2455,1886,1160,6.288700554330528
278,140.08045571245322,40.323531557792876,634,975,870,2915,1562,889,6.336283452270604
279,140.08889987612392,40.33035875395218,519,841,622,2777,1690,944,6.578710555142343
280,140.0743471685212,40.31966880207116,656,1100,669,4487,1898,1004,6.2798143265920885
281,140.07695228284513,40.32290273709399,491,846,543,3168,1650,863,6.301594667401139
282,140.0862947618,40.330897743122655,547,876,557,3639,2020,1097,6.527084201277898
283,140.09051684363536,40.33143673229313,647,1116,713,4108,1521,874,6.874080091311908
284,140.08863038153868,40.278166635944835,1092,1356,1306,3142,2260,1523,7.0272845124377
285,140.0888100445955,40.278436130530075,1066,1296,1246,3041,2219,1470,6.291775779597935
286,140.07704211437354,40.26882415698999,528,839,595,3448,1753,936,6.236358070131854
287,140.07542514686213,40.26702752642176,558,776,644,2213,726,429,6.283997345118166
288,140.038324725628,40.311314469928845,545,714,651,1905,1767,1084,6.3207097887680765
289,140.04685872082715,40.31194329062773,561,873,647,2842,1511,944,6.371604103165725
290,140.0390433778553,40.311134806872026,559,819,716,2804,1678,1076,6.333328874218037
291,140.0392230409121,40.32335189473605,568,854,758,2808,1813,1079,6.268012645195373
292,140.039851861611,40.31409924730962,495,832,548,3559,1602,906,6.307810609912035
293,140.0405705138383,40.31481789953691,600,875,698,3196,2190,1444,6.271333823852963
294,140.03958236702576,40.314189078838034,543,841,630,3335,1195,673,6.309568892589328
295,140.04712821541236,40.31212295368456,575,865,704,2894,1692,1015,5.913646338998134
296,140.04030101925306,40.314189078838034,422,716,377,4021,1374,729,6.370770006769942
297,140.0389535463269,40.32335189473605,561,866,836,2431,1467,913,6.2675635914410535
298,140.03859422021324,40.31122463840044,536,772,630,2569,1948,1283,6.7216791692344025
299,140.08898970765233,40.27870562511531,951,1196,1174,2909,2222,1432,6.2957551583714855
300,140.09366094712976,40.25301380798949,586,775,691,2392,1848,1178,6.290578175239022
301,140.09752370285148,40.257685047466914,557,859,666,3118,1714,1042,6.310804665068886
302,140.08773206625457,40.27376489105265,665,946,923,2940,2250,1407,6.308785404306072
303,140.09599656686848,40.25301380798949,545,977,647,3019,2296,1439,6.3170178536312385
304,140.08925920223757,40.33008925936695,580,976,681,3347,1800,1036,6.833703984092466
305,140.0900676859933,40.2801429295699,1466,1646,1540,3217,2370,1660,6.309568892589328
306,140.09680505062417,40.25301380798949,570,871,709,2998,1683,982,6.712777847794162
307,140.08512695193062,40.28140057096767,1016,1202,1200,2580,2206,1459,6.52818673408439
308,140.08467779428855,40.2786157935869,856,1011,1130,1942,2330,1911,6.266112225195847
309,140.08970835987964,40.28418534834844,677,969,836,3043,1913,1100,6.304763660657698
310,140.0961762299253,40.25301380798949,517,808,606,3299,1766,1033,6.29558937552686
311,140.0765031252031,40.2673868525354,608,921,723,2953,1513,936,6.3773974645587534
312,140.09626606145372,40.259571509563564,614,951,850,2859,1987,1247,6.37185891043699
313,140.09455926241387,40.26046982484768,643,945,927,2807,1941,1193,6.3062234625453035
314,140.09590673534007,40.259571509563564,713,1004,1018,2769,2438,1797,6.145619139211959
315,140.08961852835122,40.281759897081315,703,960,933,2642,2170,1410,6.6600582622712565
316,140.08934903376598,40.28113107638243,1021,1182,1106,2673,1971,1290,6.25717721439991
317,140.09689488215258,40.24915105226778,605,861,823,2294,2001,1314,6.746271385078434
318,140.08907953918074,40.27897511970055,871,1108,1066,2779,2048,1377,6.668798029624379
319,140.08773206625457,40.278885288172134,747,1078,966,3094,2070,1266,6.285631051179251
320,140.087821897783,40.329190944082825,550,877,619,2831,1333,801,6.296152407071012
321,140.08764223472616,40.33143673229313,474,791,503,3131,1493,764,6.382740756660911
322,140.0729098640666,40.299905865820534,579,849,743,2585,1648,973,6.298739812712831
323,140.0721912118393,40.29972620276371,581,899,725,3071,1828,1053,6.3151919017688245
324,140.07264036948138,40.29810923525229,608,893,818,2938,1726,1013,6.288417559953253
325,140.06904710834488,40.29882788747959,572,880,777,2687,2086,1407,6.328073895694307
326,140.07497598922006,40.26882415698999,530,811,623,2743,1179,653,6.265418362390656
327,140.07767093507243,40.29092271297934,594,911,634,3122,1610,840,6.286447093679481
328,140.07237087489614,40.30053468651941,588,908,724,2785,1785,1023,6.31179839849397
329,140.07282003253817,40.299636371235295,565,888,681,2849,1817,1052,6.322845469729029
330,140.07308952712341,40.30035502346259,601,835,775,2409,1791,1056,6.257107859033492
331,140.06868778223125,40.291551533678216,582,863,774,3149,1924,1092,6.304539219355578
332,140.06949626598694,40.29244984896234,605,951,766,3619,2165,1313,6.5519064256701265
333,140.05072147654886,40.270351292973,767,1066,1042,2864,2393,1661,6.234257179280145
334,140.04847568833856,40.26900382004682,810,1098,1212,2654,2808,2175,6.313011462153599
335,140.06931660293012,40.29200069132028,625,970,856,3372,2138,1166,6.175462463528195
