lat,lon,APCP_2021,xy,time
40.270832,140.01875,14.103933,"40.270832,140.01875",2021-10-23
40.270832,140.01875,0.5419457,"40.270832,140.01875",2021-10-24
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-25
40.270832,140.01875,1.0512094,"40.270832,140.01875",2021-10-26
40.270832,140.01875,15.613,"40.270832,140.01875",2021-10-27
40.270832,140.01875,7.3868365,"40.270832,140.01875",2021-10-28
40.270832,140.01875,4.044004,"40.270832,140.01875",2021-10-29
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-30
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-31
40.270832,140.01875,0.0,"40.270832,140.01875",2021-11-01
40.270832,140.01875,5.4917455,"40.270832,140.01875",2021-11-02
40.270832,140.01875,1.7794693,"40.270832,140.01875",2021-11-03
40.270832,140.01875,1.5664035,"40.270832,140.01875",2021-11-04
40.270832,140.01875,4.8660192,"40.270832,140.01875",2021-11-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-11-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-11-07
40.270832,140.01875,0.0,"40.270832,140.01875",2021-11-08
40.270832,140.01875,35.474976,"40.270832,140.01875",2021-11-09
40.270832,140.01875,26.073156,"40.270832,140.01875",2021-11-10
40.270832,140.01875,10.125887,"40.270832,140.01875",2021-11-11
40.270832,140.01875,30.437674,"40.270832,140.01875",2021-11-12
40.270832,140.01875,2.9167664,"40.270832,140.01875",2021-11-13
40.270832,140.01875,13.214302,"40.270832,140.01875",2021-11-14
40.270832,140.01875,1.6661432,"40.270832,140.01875",2021-11-15
40.270832,140.01875,0.0,"40.270832,140.01875",2021-11-16
40.270832,140.01875,0.0,"40.270832,140.01875",2021-11-17
40.270832,140.01875,8.894073,"40.270832,140.01875",2021-11-18
40.270832,140.01875,9.701396,"40.270832,140.01875",2021-11-19
40.270832,140.01875,0.0,"40.270832,140.01875",2021-11-20
