lat,lon,APCP_mean,xy,time,APCP_2021
40.270832,140.01875,2.7094123,"40.270832,140.01875",2021/1/27,0
40.270832,140.01875,2.7025108,"40.270832,140.01875",2021/1/28,0.7874972
40.270832,140.01875,2.6370304,"40.270832,140.01875",2021/1/29,13.5044775
40.270832,140.01875,2.630277,"40.270832,140.01875",2021/1/30,13.013478
40.270832,140.01875,2.5548117,"40.270832,140.01875",2021/1/31,0.5574175
40.270832,140.01875,2.5549352,"40.270832,140.01875",2021/2/1,0
40.270832,140.01875,2.481268,"40.270832,140.01875",2021/2/2,2.838307
40.270832,140.01875,2.4789824,"40.270832,140.01875",2021/2/3,0
40.270832,140.01875,2.480153,"40.270832,140.01875",2021/2/4,0
40.270832,140.01875,2.4072235,"40.270832,140.01875",2021/2/5,0
40.270832,140.01875,2.4092066,"40.270832,140.01875",2021/2/6,0
40.270832,140.01875,2.4110491,"40.270832,140.01875",2021/2/7,0
40.270832,140.01875,2.3461802,"40.270832,140.01875",2021/2/8,0
40.270832,140.01875,2.350201,"40.270832,140.01875",2021/2/9,6.623797
40.270832,140.01875,2.3553512,"40.270832,140.01875",2021/2/10,0.5688039
40.270832,140.01875,2.3612669,"40.270832,140.01875",2021/2/11,25.01208
40.270832,140.01875,2.364288,"40.270832,140.01875",2021/2/12,0
40.270832,140.01875,2.3672142,"40.270832,140.01875",2021/2/13,2.2332532
40.270832,140.01875,2.3729901,"40.270832,140.01875",2021/2/14,0
40.270832,140.01875,2.3787184,"40.270832,140.01875",2021/2/15,1.6031324
40.270832,140.01875,2.3894377,"40.270832,140.01875",2021/2/16,0
40.270832,140.01875,2.392313,"40.270832,140.01875",2021/2/17,0
40.270832,140.01875,2.4638333,"40.270832,140.01875",2021/2/18,8.650813
