,id,longitude,latitude,time,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,TCI_R,TCI_G,TCI_B,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60
1,20211108T012849_20211108T013450_T54TVK,140.06248940677082,40.29020406075204,2021-11-08,591,304,420,583,833,1142,1298,1166,1481,1850,1622,1152,96,765,5,61,43,32,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06446570039589,40.291282039092984,2021-11-08,109,319,431,659,946,1139,1386,1292,1532,1713,1593,1104,96,765,5,68,45,33,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0225143766275,40.27574118467771,2021-11-08,158,287,470,615,912,1217,1460,1668,1599,1744,1664,1193,96,704,5,64,47,32,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.02233471357067,40.268374999347934,2021-11-08,294,353,528,722,1287,1604,1854,2026,2023,1806,2163,1597,96,765,5,73,54,37,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.02233471357067,40.27421404869471,2021-11-08,204,467,592,834,1050,1237,1440,1764,1603,1689,1616,1203,96,765,7,84,60,48,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05772833576498,40.29200069132028,2021-11-08,138,401,574,706,1014,1332,1505,1964,1685,2489,1965,1368,96,668,5,71,58,41,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06662165707777,40.28310737000749,2021-11-08,118,215,474,405,894,1666,1865,2360,2151,1628,1422,836,96,907,4,42,49,21,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06805896153236,40.284095516820024,2021-11-08,13,326,457,555,876,1604,1754,1686,2106,1828,1426,894,96,983,4,58,48,31,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.08539644651586,40.28670063114397,2021-11-08,341,458,551,691,904,1178,1364,1522,1461,2096,1600,1147,96,765,7,72,57,44,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06725047777664,40.28355652764956,2021-11-08,61,219,402,366,806,1350,1532,1792,1799,1744,1403,897,96,871,4,37,40,23,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0827015006635,40.283466696121145,2021-11-08,486,596,854,794,1174,1631,1760,2112,1997,2334,1928,1347,96,765,10,82,88,61,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.05916564021956,40.285353158217795,2021-11-08,133,371,527,730,954,1206,1398,1604,1581,1951,2026,1511,96,650,5,76,54,38,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0648250265095,40.271968260484414,2021-11-08,147,341,525,462,976,1612,1776,2084,2008,2031,1551,948,96,795,4,47,55,35,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06500468956634,40.27169876589918,2021-11-08,150,335,549,446,1011,1817,1973,2246,2197,2060,1454,896,96,930,4,46,56,35,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.069945423629,40.273405564939004,2021-11-08,139,259,534,335,982,1935,2143,2532,2300,2011,1363,779,96,1012,4,35,55,27,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05826732493546,40.28589214738827,2021-11-08,224,586,798,869,1076,1640,1701,2048,1953,2182,1884,1376,96,745,5,89,82,61,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05907580869115,40.292719343547574,2021-11-08,109,374,623,565,1204,2135,2293,2552,2542,2366,1729,1009,96,875,4,58,64,39,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06177075454352,40.29577361551358,2021-11-08,141,349,539,598,1017,1630,1835,2066,2067,1877,1691,1086,96,623,4,61,55,33,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.0606927762026,40.29676176232611,2021-11-08,151,416,674,669,1072,1709,1805,2128,2028,2065,1731,1096,96,721,4,68,69,43,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.0606927762026,40.29424647953058,2021-11-08,109,262,494,431,918,1417,1514,1816,1812,1917,1592,991,96,765,4,44,52,27,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05988429244687,40.296312604684054,2021-11-08,119,331,562,458,927,1968,1952,2404,2445,2074,1528,870,96,825,4,47,58,33,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0600639555037,40.29451597411581,2021-11-08,133,290,553,444,961,1695,1892,2046,2061,2029,1703,1070,96,783,4,46,57,29,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05925547174797,40.29334816424646,2021-11-08,120,305,482,610,886,1221,1498,1708,1611,1890,1682,1140,96,633,5,62,49,31,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05817749340704,40.29658209926929,2021-11-08,117,313,480,556,842,1232,1341,1648,1662,1903,1749,1106,96,622,4,57,49,32,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.05898597716273,40.294875300229464,2021-11-08,106,273,549,417,943,1600,1759,2060,2001,1970,1751,1090,96,754,4,43,56,27,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.08692358249886,40.2868802942008,2021-11-08,185,401,510,647,875,1106,1200,1438,1304,1881,1549,1084,95,765,7,66,52,41,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.08674391944203,40.28705995725762,2021-11-08,185,402,481,652,861,1123,1178,1166,1328,1881,1561,1135,96,765,7,67,49,42,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.05961479786163,40.295593952456755,2021-11-08,116,276,517,461,945,1487,1543,1812,1837,2050,1761,1158,96,709,4,48,53,29,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0645555319243,40.274663206336776,2021-11-08,245,262,419,412,1001,1625,1794,1994,1842,2310,1860,1192,96,765,7,42,42,24,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.02287370274115,40.27879545664372,2021-11-08,168,339,524,691,946,1199,1405,1514,1618,1877,1748,1265,96,707,5,72,54,34,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07731160895878,40.27978360345625,2021-11-08,285,338,463,466,837,1334,1432,1546,1614,1825,1544,1057,96,765,7,48,48,35,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.07785059812926,40.27879545664372,2021-11-08,159,363,520,469,678,916,1007,1308,1154,1615,1247,947,96,765,2,48,53,37,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06895727681646,40.28714978878603,2021-11-08,8,182,456,267,794,1712,1935,2386,2165,2480,1360,772,96,733,4,28,47,19,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.068418287646,40.28373619070638,2021-11-08,94,244,343,441,673,977,1121,1318,1250,1700,1225,856,96,765,2,45,35,27,0,0,0,0,0
